date,Actif immobilisé net,.Immobilisations incorp. nettes,.Immobilisations corp. nettes,.Immobilisations financ. nettes,Actif circulant net,.Stocks nets,.Cr. clients et cpt. rat. nets,.Val. mob. de placement nettes,.Disponibilités nettes,.Autres actifs circulants nets,Comptes de régularisation,Total de l'actif,year
2021-12-31,69748.0,17181.0,3139.0,49428.0,285734.0,31111.0,67335.0,0.0,1423.0,185865.0,23124.0,378605.0,2021
2020-12-31,72238.0,20222.0,2660.0,49356.0,241851.0,30717.0,76653.0,0.0,8365.0,126116.0,20450.0,334539.0,2020
2019-12-31,20996.0,18243.0,2162.0,591.0,254114.0,22330.0,69529.0,0.0,8052.0,154204.0,22083.0,297192.0,2019
2018-12-31,18885.0,14392.0,3198.0,1294.0,369128.0,600.0,87866.0,0.0,81.0,280581.0,23749.0,411761.0,2018
2017-12-31,11014.0,7246.0,2459.0,1309.0,425561.0,29199.0,64599.0,0.0,9318.0,322446.0,22218.0,458793.0,2017
2016-12-31,6218.0,3142.0,1931.0,1145.0,486976.0,30968.0,69744.0,0.0,702.0,385562.0,18452.0,511646.0,2016
2015-12-31,9174.0,2706.0,4720.0,1748.0,492870.0,30136.0,76063.0,0.0,63.0,386608.0,12332.0,514375.0,2015
2014-12-31,9085.0,1761.0,5965.0,1359.0,460934.0,35986.0,114080.0,0.0,53.0,310814.0,11712.0,481731.0,2014
2013-12-31,9859.0,1249.0,7387.0,1223.0,478180.0,41566.0,126997.0,0.0,130.0,309486.0,12753.0,500791.0,2013
2012-12-31,9633.0,2374.0,5502.0,1758.0,511312.0,44672.0,138089.0,0.0,134.0,328416.0,16549.0,537494.0,2012
2011-12-31,10566.0,6473.0,3340.0,752.0,477097.0,31506.0,142696.0,0.0,3907.0,298989.0,18704.0,506367.0,2011
2010-12-31,12402.0,8336.0,4066.0,0.0,404831.0,28884.0,115345.0,133.0,6291.0,254177.0,14763.0,431996.0,2010
2009-12-31,6595.0,2979.0,3616.0,0.0,373746.0,35764.0,116272.0,126.0,1727.0,219857.0,8427.0,388768.0,2009
2008-12-31,3861.0,593.0,3268.0,0.0,319641.0,49121.0,109846.0,105833.0,153.0,54688.0,5901.0,329402.0,2008
2007-12-31,2860.0,22.0,2837.0,2.0,249455.0,48277.0,101097.0,57955.0,243.0,41884.0,7181.0,259496.0,2007
